Time,BLOCCO1:ZONA3:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) LUG:Des Sens Cool Load [W],BLOCCO1:ZONA3:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA3:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) LUG:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA6:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA6:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Sens Cool Load [W],BLOCCO1:ZONA6:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA6:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA5:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA5:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Sens Cool Load [W],BLOCCO1:ZONA5:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA5:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA7:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA7:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Sens Cool Load [W],BLOCCO1:ZONA7:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA7:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA1:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Sens Cool Load [W],BLOCCO1:ZONA1:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA1:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) GIU:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA2:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) LUG:Des Sens Cool Load [W],BLOCCO1:ZONA2:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA2:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) LUG:Des Cool Mass Flow [kg/s],BLOCCO1:ZONA4:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Load [W],BLOCCO1:ZONA4:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) LUG:Des Sens Cool Load [W],BLOCCO1:ZONA4:WINTER DESIGN DAY IN SENZA TITOLO (01-01:31-12):Des Heat Mass Flow [kg/s],BLOCCO1:ZONA4:SUMMER DESIGN DAY IN SENZA TITOLO (01-01:31-12) LUG:Des Cool Mass Flow [kg/s]
00:10:00,1.050102E+03,0.000000E+00,4.410378E-02,0.000000E+00,1.449023E+03,0.000000E+00,6.086887E-02,0.000000E+00,1.063548E+02,0.000000E+00,4.470511E-03,0.000000E+00,4.652861E+02,0.000000E+00,1.954708E-02,0.000000E+00,2.846288E+02,0.000000E+00,1.196043E-02,0.000000E+00,6.510395E+02,0.000000E+00,2.734368E-02,0.000000E+00,3.187626E+02,0.000000E+00,1.339118E-02,0.000000E+00
00:20:00,1.063021E+03,0.000000E+00,4.464582E-02,0.000000E+00,1.466144E+03,0.000000E+00,6.158755E-02,0.000000E+00,1.096957E+02,0.000000E+00,4.610842E-03,0.000000E+00,4.711785E+02,0.000000E+00,1.979429E-02,0.000000E+00,2.902929E+02,0.000000E+00,1.219816E-02,0.000000E+00,6.596679E+02,0.000000E+00,2.770578E-02,0.000000E+00,3.233568E+02,0.000000E+00,1.358399E-02,0.000000E+00
00:30:00,1.074934E+03,0.000000E+00,4.514567E-02,0.000000E+00,1.482024E+03,0.000000E+00,6.225412E-02,0.000000E+00,1.128295E+02,0.000000E+00,4.742467E-03,0.000000E+00,4.767627E+02,0.000000E+00,2.002867E-02,0.000000E+00,2.955625E+02,0.000000E+00,1.241933E-02,0.000000E+00,6.676588E+02,0.000000E+00,2.804111E-02,0.000000E+00,3.276508E+02,0.000000E+00,1.376427E-02,0.000000E+00
00:40:00,1.086045E+03,0.000000E+00,4.561182E-02,0.000000E+00,1.496919E+03,0.000000E+00,6.287933E-02,0.000000E+00,1.157964E+02,0.000000E+00,4.867072E-03,0.000000E+00,4.821291E+02,0.000000E+00,2.025398E-02,0.000000E+00,3.004733E+02,0.000000E+00,1.262544E-02,0.000000E+00,6.751405E+02,0.000000E+00,2.835506E-02,0.000000E+00,3.317628E+02,0.000000E+00,1.393684E-02,0.000000E+00
00:50:00,1.096494E+03,0.000000E+00,4.605019E-02,0.000000E+00,1.511007E+03,0.000000E+00,6.347066E-02,0.000000E+00,1.186200E+02,0.000000E+00,4.985652E-03,0.000000E+00,4.873379E+02,0.000000E+00,2.047268E-02,0.000000E+00,3.050309E+02,0.000000E+00,1.281671E-02,0.000000E+00,6.822020E+02,0.000000E+00,2.865136E-02,0.000000E+00,3.357121E+02,0.000000E+00,1.410261E-02,0.000000E+00
01:00:00,1.106382E+03,0.000000E+00,4.646505E-02,0.000000E+00,1.524417E+03,0.000000E+00,6.403350E-02,0.000000E+00,1.213138E+02,0.000000E+00,5.098772E-03,0.000000E+00,4.924517E+02,0.000000E+00,2.068742E-02,0.000000E+00,3.092899E+02,0.000000E+00,1.299540E-02,0.000000E+00,6.889081E+02,0.000000E+00,2.893274E-02,0.000000E+00,3.395493E+02,0.000000E+00,1.426369E-02,0.000000E+00
01:10:00,1.115920E+03,0.000000E+00,4.686518E-02,0.000000E+00,1.537568E+03,0.000000E+00,6.458543E-02,0.000000E+00,1.239175E+02,0.000000E+00,5.208100E-03,0.000000E+00,4.976045E+02,0.000000E+00,2.090383E-02,0.000000E+00,3.134287E+02,0.000000E+00,1.316903E-02,0.000000E+00,6.953760E+02,0.000000E+00,2.920413E-02,0.000000E+00,3.433430E+02,0.000000E+00,1.442296E-02,0.000000E+00
01:20:00,1.125046E+03,0.000000E+00,4.724805E-02,0.000000E+00,1.550213E+03,0.000000E+00,6.511615E-02,0.000000E+00,1.264015E+02,0.000000E+00,5.312390E-03,0.000000E+00,5.026677E+02,0.000000E+00,2.111651E-02,0.000000E+00,3.173983E+02,0.000000E+00,1.333557E-02,0.000000E+00,7.015912E+02,0.000000E+00,2.946490E-02,0.000000E+00,3.470880E+02,0.000000E+00,1.458021E-02,0.000000E+00
01:30:00,1.133800E+03,0.000000E+00,4.761530E-02,0.000000E+00,1.562413E+03,0.000000E+00,6.562814E-02,0.000000E+00,1.287657E+02,0.000000E+00,5.411640E-03,0.000000E+00,5.076821E+02,0.000000E+00,2.132712E-02,0.000000E+00,3.212361E+02,0.000000E+00,1.349662E-02,0.000000E+00,7.075704E+02,0.000000E+00,2.971576E-02,0.000000E+00,3.508425E+02,0.000000E+00,1.473787E-02,0.000000E+00
01:40:00,1.142222E+03,0.000000E+00,4.796857E-02,0.000000E+00,1.574214E+03,0.000000E+00,6.612341E-02,0.000000E+00,1.310069E+02,0.000000E+00,5.505712E-03,0.000000E+00,5.126484E+02,0.000000E+00,2.153569E-02,0.000000E+00,3.249877E+02,0.000000E+00,1.365408E-02,0.000000E+00,7.133387E+02,0.000000E+00,2.995778E-02,0.000000E+00,3.545357E+02,0.000000E+00,1.489301E-02,0.000000E+00
